Entity,Code,Year,driver_raw,loss_ha,driver
Malaysia,MYS,2010,Tree cover loss driven by agriculture,350465.78,Agriculture (commodity)
Malaysia,MYS,2010,Tree cover loss driven by logging,59684.215,Logging
Malaysia,MYS,2010,Tree cover loss driven by the mining or energy industry,4731.1025,Mining & energy
Malaysia,MYS,2010,Tree cover loss driven by non-fire natural disturbances,697.63153,Natural (non-fire)
Malaysia,MYS,2010,Tree cover loss driven by settlements and infrastructure,7934.42,Settlements & infrastructure
Malaysia,MYS,2010,Tree cover loss driven by shifting cultivation,5672.6577,Shifting cultivation
Malaysia,MYS,2010,Tree cover loss driven by wildfire,1467.3842,Wildfire
Malaysia,MYS,2011,Tree cover loss driven by agriculture,366157.53,Agriculture (commodity)
Malaysia,MYS,2011,Tree cover loss driven by logging,56309.51,Logging
Malaysia,MYS,2011,Tree cover loss driven by the mining or energy industry,27055.639,Mining & energy
Malaysia,MYS,2011,Tree cover loss driven by non-fire natural disturbances,940.6049,Natural (non-fire)
Malaysia,MYS,2011,Tree cover loss driven by settlements and infrastructure,5971.431,Settlements & infrastructure
Malaysia,MYS,2011,Tree cover loss driven by shifting cultivation,5171.852,Shifting cultivation
Malaysia,MYS,2011,Tree cover loss driven by wildfire,1276.2821,Wildfire
Malaysia,MYS,2012,Tree cover loss driven by agriculture,475185.3,Agriculture (commodity)
Malaysia,MYS,2012,Tree cover loss driven by logging,110768.79,Logging
Malaysia,MYS,2012,Tree cover loss driven by the mining or energy industry,20837.414,Mining & energy
Malaysia,MYS,2012,Tree cover loss driven by non-fire natural disturbances,1861.6073,Natural (non-fire)
Malaysia,MYS,2012,Tree cover loss driven by settlements and infrastructure,8440.435,Settlements & infrastructure
Malaysia,MYS,2012,Tree cover loss driven by shifting cultivation,7441.408,Shifting cultivation
Malaysia,MYS,2012,Tree cover loss driven by wildfire,3130.7378,Wildfire
Malaysia,MYS,2013,Tree cover loss driven by agriculture,265939.5,Agriculture (commodity)
Malaysia,MYS,2013,Tree cover loss driven by logging,50006.055,Logging
Malaysia,MYS,2013,Tree cover loss driven by the mining or energy industry,6049.7646,Mining & energy
Malaysia,MYS,2013,Tree cover loss driven by non-fire natural disturbances,793.33466,Natural (non-fire)
Malaysia,MYS,2013,Tree cover loss driven by settlements and infrastructure,3507.0154,Settlements & infrastructure
Malaysia,MYS,2013,Tree cover loss driven by shifting cultivation,5069.74,Shifting cultivation
Malaysia,MYS,2013,Tree cover loss driven by wildfire,1851.8683,Wildfire
Malaysia,MYS,2014,Tree cover loss driven by agriculture,451046.4,Agriculture (commodity)
Malaysia,MYS,2014,Tree cover loss driven by logging,132113.22,Logging
Malaysia,MYS,2014,Tree cover loss driven by the mining or energy industry,25573.652,Mining & energy
Malaysia,MYS,2014,Tree cover loss driven by non-fire natural disturbances,2919.6892,Natural (non-fire)
Malaysia,MYS,2014,Tree cover loss driven by settlements and infrastructure,10997.03,Settlements & infrastructure
Malaysia,MYS,2014,Tree cover loss driven by shifting cultivation,12899.025,Shifting cultivation
Malaysia,MYS,2014,Tree cover loss driven by wildfire,10129.225,Wildfire
